item_id,rest_name,item_name,category,serving_size,calories,fat,sat_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,allergens
1,Chick-Fil-A,Chick-fil-A® Chicken Biscuit,breakfast,153g,460,23,8,0,45,1510,45,2,6,19,
2,Chick-Fil-A,Spicy Chicken Biscuit,breakfast,153g,450,22,8,0,40,1570,44,2,5,19,
3,Chick-Fil-A,Chick-fil-A Chick-n-Minis®,breakfast,127g,360,13,4,0,60,1060,41,2,8,20,
4,Chick-Fil-A,4 ct Chick-fil-A Chick-n-Minis®,breakfast,127g,360,13,4,0,60,1060,41,2,8,20,
5,Chick-Fil-A,10 ct Chick-fil-A Chick-n-Minis®,breakfast,318g,910,34,10,0,150,2640,103,6,19,49,
6,Chick-Fil-A,Egg White Grill,breakfast,172g,300,8,4,0,65,990,29,1,2,27,
7,Chick-Fil-A,Hash Brown Scramble Burrito,breakfast,304g,700,40,12,0.5,415,1770,51,3,2,34,
8,Chick-Fil-A,Hash Brown Scramble Burrito w/ Nuggets,breakfast,304g,700,40,12,0.5,415,1770,51,3,2,34,
9,Chick-Fil-A,Hash Brown Scramble Burrito w/ Sausage,breakfast,283g,720,47,16,0.5,395,1450,46,3,1,28,
10,Chick-Fil-A,Hash Brown Scramble Burrito w/ Grilled Filet,breakfast,304g,650,36,12,0.5,420,1650,46,3,2,36,
11,Chick-Fil-A,Hash Brown Scramble Burrito w/ Spicy Chicken,breakfast,266g,660,37,11,0.5,250,1750,54,3,2,28,
12,Chick-Fil-A,Hash Brown Scramble Burrito w/ Bacon,breakfast,271g,680,42,14,0.5,395,1630,46,3,2,30,
13,Chick-Fil-A,Hash Brown Scramble Burrito w/ No Meat,breakfast,251g,580,34,11,0.5,330,1200,47,5,1,22,
14,Chick-Fil-A,Hash Brown Scramble Burrito w/ Nuggets - no hash browns,breakfast,261g,550,30,11,0.5,415,1530,38,2,2,33,
15,Chick-Fil-A,Hash Brown Scramble Burrito w/ Sausage - no hash browns,breakfast,240g,570,37,14,0.5,395,1200,34,2,1,26,
16,Chick-Fil-A,Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown,breakfast,261g,500,26,10,0.5,420,1410,34,2,2,35,
17,Chick-Fil-A,Hash Brown Scramble Burrito w/ Spicy Chicken - no hash browns,breakfast,234g,530,27,10,0.5,255,1620,40,2,2,31,
18,Chick-Fil-A,Hash Brown Scramble Burrito w/ Bacon - no hash browns,breakfast,228g,540,32,13,0.5,395,1230,34,2,2,27,
19,Chick-Fil-A,Hash Brown Scramble Burrito w/ No Meat - no hash browns,breakfast,208g,440,24,10,0.5,330,950,35,3,1,21,
20,Chick-Fil-A,Hash Brown Scramble Bowl,breakfast,233g,470,30,9,0,415,1350,19,2,2,29,
21,Chick-Fil-A,Hash Brown Scramble Bowl w/ Nuggets,breakfast,233g,470,30,9,0,415,1350,19,2,2,29,
22,Chick-Fil-A,Hash Brown Scramble Bowl w/ Sausage,breakfast,212g,480,37,12,0,395,1020,15,2,1,23,
23,Chick-Fil-A,Hash Brown Scramble Bowl w/ Grilled Filet,breakfast,233g,420,26,8,0,420,1230,15,2,2,31,
24,Chick-Fil-A,Hash Brown Scramble Bowl w/ Spicy Chicken,breakfast,251g,500,32,9,0,420,1590,21,2,2,32,
25,Chick-Fil-A,Hash Brown Scramble Bowl w/ Bacon,breakfast,200g,450,32,11,0,395,1060,15,2,2,23,
26,Chick-Fil-A,Hash Brown Scramble Bowl w/ No Meat,breakfast,180g,350,24,8,0,330,770,16,3,1,17,
27,Chick-Fil-A,Hash Brown Scramble Bowl w/ Nuggets - no hash browns,breakfast,190g,320,20,8,0,415,1100,7,0,2,28,
28,Chick-Fil-A,Hash Brown Scramble Bowl w/ Sausage - no hash browns,breakfast,169g,340,27,11,0,395,780,2,0,1,21,
29,Chick-Fil-A,Hash Brown Scramble Bowl w/ Grilled Filet - no hash browns,breakfast,190g,270,16,7,0,420,980,2,1,2,30,
30,Chick-Fil-A,Hash Brown Scramble Bowl w/ Spicy Chicken - no hash browns,breakfast,208g,350,22,8,0,420,1340,9,0,2,31,
31,Chick-Fil-A,Hash Brown Scramble Bowl w/ Bacon - no hash browns,breakfast,158g,300,22,10,0,395,810,2,0,2,22,
32,Chick-Fil-A,Hash Brown Scramble Bowl w/ No Meat - no hash browns,breakfast,137g,200,14,6,0,330,530,3,2,1,16,
33,Chick-Fil-A,"Chicken, Egg & Cheese Biscuit",breakfast,211g,550,28,12,0,215,1870,48,3,7,27,
34,Chick-Fil-A,"Bacon, Egg & Cheese Biscuit",breakfast,145g,420,23,11,0,180,1220,38,2,4,15,
35,Chick-Fil-A,"Sausage, Egg & Cheese Biscuit",breakfast,192g,620,42,18,0,205,1510,38,2,4,22,
36,Chick-Fil-A,"Chicken, Egg & Cheese Muffin",breakfast,187g,410,18,6,0,215,1320,36,1,4,27,
37,Chick-Fil-A,"Bacon, Egg & Cheese Muffin",breakfast,126g,300,13,6,0,180,780,28,1,2,16,
38,Chick-Fil-A,"Sausage, Egg & Cheese Muffin",breakfast,173g,490,32,13,0,205,1000,29,1,1,23,
39,Chick-Fil-A,Hash Browns,breakfast,77g,270,18,2.5,0,0,440,23,3,0,3,
40,Chick-Fil-A,Small Hash Browns,breakfast,77g,270,18,2.5,0,0,440,23,3,0,3,
41,Chick-Fil-A,Large Hash Browns,breakfast,121g,420,29,4,0,0,700,35,4,0,4,
42,Chick-Fil-A,Berry Parfait,breakfast,206g,270,9,3.5,0,20,85,35,1,26,13,
43,Chick-Fil-A,Berry Parfait w/ Cookie Crumbs,breakfast,195g,240,8,3.5,0,20,85,31,1,25,12,
44,Chick-Fil-A,Berry Parfait w/ Granola,breakfast,206g,270,9,3.5,0,20,85,35,1,26,13,
45,Chick-Fil-A,Fruit Cup,breakfast,125g,70,0,0,0,0,0,16,2,12,1,
46,Chick-Fil-A,Small Fruit Cup,breakfast,107g,60,0,0,0,0,0,14,2,11,1,
47,Chick-Fil-A,Medium Fruit Cup,breakfast,125g,70,0,0,0,0,0,16,2,12,1,
48,Chick-Fil-A,Large Fruit Cup,breakfast,215g,120,0,0,0,0,0,28,4,21,1,
49,Chick-Fil-A,Breakfast Breads,breakfast,81g,290,15,6,0,0,760,37,2,4,4,
50,Chick-Fil-A,Buttery Biscuit,breakfast,81g,290,15,6,0,0,760,37,2,4,4,
51,Chick-Fil-A,English Muffin,breakfast,58g,140,1,0,0,0,190,27,1,1,5,
52,Chick-Fil-A,4 ct Mini Yeast Rolls,breakfast,70g,240,8,2.5,0,20,450,36,2,7,6,
53,Chick-Fil-A,Pretzel Cheddar Club Sandwich w/ Chick-fil-A® Filet,entree,283g,690,34,10.5,0,105,1790,55,2,8,39,
54,Chick-Fil-A,Pretzel Cheddar Club Sandwich w/ Spicy Filet,entree,288g,720,35,10.5,0,105,2050,59,2,8,38,
55,Chick-Fil-A,Pretzel Cheddar Club Sandwich w/ Grilled Filet,entree,252g,550,24,8.5,0,110,1040,44,2,7,36,
56,Chick-Fil-A,Chick-fil-A® Chicken Sandwich,entree,183g,420,18,3.5,0,70,1460,41,1,6,29,
57,Chick-Fil-A,Chick-fil-A® Deluxe Sandwich,entree,247g,490,22,6,0,85,1700,43,1,7,32,
58,Chick-Fil-A,Chick-fil-A® Deluxe Sandwich w/ American,entree,247g,490,22,6,0,85,1700,43,1,7,32,
59,Chick-Fil-A,Chick-fil-A® Deluxe Sandwich w/ Colby Jack,entree,254g,510,24,8,0,90,1610,43,1,7,34,
60,Chick-Fil-A,Chick-fil-A® Deluxe Sandwich w/ Pepper Jack,entree,254g,520,24,8,0,90,1610,43,1,7,35,
61,Chick-Fil-A,Chick-fil-A® Deluxe Sandwich w/ No Cheese,entree,233g,430,18,3.5,0,70,1470,43,1,7,29,
62,Chick-Fil-A,Spicy Chicken Sandwich,entree,188g,450,19,4,0,65,1730,45,1,6,28,
63,Chick-Fil-A,Spicy Deluxe Sandwich,entree,259g,540,26,8,0,85,1880,47,2,7,34,
64,Chick-Fil-A,Spicy Deluxe Sandwich w/ Pepper Jack,entree,259g,540,26,8,0,85,1880,47,2,7,34,
65,Chick-Fil-A,Spicy Deluxe Sandwich w/ American,entree,252g,510,23,6,0,80,1970,47,2,7,31,
66,Chick-Fil-A,Spicy Deluxe Sandwich w/ Colby Jack,entree,259g,540,26,8,0,85,1880,47,2,7,34,
67,Chick-Fil-A,Spicy Deluxe Sandwich w/ No Cheese,entree,238g,460,19,4,0,65,1730,46,2,7,28,
68,Chick-Fil-A,Grilled Chicken Sandwich,entree,206g,390,11,2.5,0,75,765,45,3,11,28,
69,Chick-Fil-A,Chick-fil-A® Grilled Chicken Club Sandwich,entree,237g,520,22,8,0,105,1055,45,3,12,37,
70,Chick-Fil-A,Grilled Chicken Club w/ Colby Jack,entree,237g,520,22,8,0,105,1055,45,3,12,37,
71,Chick-Fil-A,Grilled Chicken Club w/ American,entree,230g,490,19,6,0,100,1145,45,3,12,34,
72,Chick-Fil-A,Grilled Chicken Club w/ Pepper Jack,entree,237g,520,22,8,0,105,1045,45,3,12,37,
73,Chick-Fil-A,Grilled Chicken Club w/ No Cheese,entree,216g,440,15,4,0,85,905,45,3,11,31,
74,Chick-Fil-A,Chick-fil-A® Nuggets,entree,113g,250,11,2.5,0,85,1210,11,0,1,27,
75,Chick-Fil-A,5 ct Chick-fil-A® Nuggets,entree,71g,160,7,1.5,0,50,760,7,0,1,17,
76,Chick-Fil-A,8 ct Chick-fil-A® Nuggets,entree,113g,250,11,2.5,0,85,1210,11,0,1,27,
77,Chick-Fil-A,12 ct Chick-fil-A® Nuggets,entree,170g,380,17,3.5,0,125,1820,16,0,1,40,
78,Chick-Fil-A,30 ct Chick-fil-A® Nuggets,entree,425g,950,43,9,0,315,4550,41,0,4,100,
79,Chick-Fil-A,Grilled Nuggets,entree,95g,130,3,0.5,0,85,440,1,0,1,25,
80,Chick-Fil-A,5 ct Grilled Nuggets,entree,59g,80,2,0,0,55,270,1,0,0,16,
81,Chick-Fil-A,8 ct Grilled Nuggets,entree,95g,130,3,0.5,0,85,440,1,0,1,25,
82,Chick-Fil-A,12 ct Grilled Nuggets,entree,142g,200,4.5,1,0,130,660,2,0,1,38,
83,Chick-Fil-A,30 ct Grilled Nuggets,entree,369g,510,11,3,0,335,1710,4,1,3,98,
84,Chick-Fil-A,Chick-fil-A Chick-n-Strips®,entree,136g,310,14,2.5,0,75,870,16,0,2,29,
85,Chick-Fil-A,2 ct Chick-fil-A Chick-n-Strips®,entree,91g,200,9,2,0,50,580,11,0,1,19,
86,Chick-Fil-A,3 ct Chick-fil-A Chick-n-Strips®,entree,136g,310,14,2.5,0,75,870,16,0,2,29,
87,Chick-Fil-A,4 ct Chick-fil-A Chick-n-Strips®,entree,181g,410,19,3.5,0,100,1150,22,0,2,39,
88,Chick-Fil-A,10 ct Chick-fil-A Chick-n-Strips®,entree,452g,1020,46,9,0,250,2870,54,0,6,96,
89,Chick-Fil-A,Chick-fil-A Cool Wrap®,entree,231g,660,45,9,0,110,1420,32,14,5,43,
90,Chick-Fil-A,Hot Brown,entree,354g,740,42,18,0,175,2330,38,0,8,48,
91,Chick-Fil-A,Hot Brown w/ Nuggets,entree,354g,740,42,18,0,175,2330,38,0,8,48,
92,Chick-Fil-A,Hot Brown w/ Spicy Breakfast Filet,entree,372g,750,41,17,0,165,2670,41,0,9,50,
93,Chick-Fil-A,Hot Brown w/ Grilled Breakfast Filet,entree,373g,770,43,17,0,170,2550,42,0,12,49,
94,Chick-Fil-A,Hot Brown w/ Sausage,entree,343g,930,72,30,0,155,1920,28,0,8,40,
95,Chick-Fil-A,Hot Brown w/ Grilled Nuggets,entree,335g,610,33,17,0,175,1560,28,1,8,46,
96,Chick-Fil-A,Hot Brown w/ Spicy Filet,entree,361g,760,44,19,0,160,2500,43,1,9,44,
97,Chick-Fil-A,Cobb Salad,salad,411g,830,60,13,0,230,2220,31,5,8,42,
98,Chick-Fil-A,Cobb Salad w/ Nuggets,salad,411g,830,60,13,0,230,2220,31,5,8,42,
99,Chick-Fil-A,Cobb Salad w/ Spicy Grilled Filet (Cold),salad,383g,690,51,11,0,210,1740,23,6,8,34,
100,Chick-Fil-A,Cobb Salad w/ Grilled Nuggets,salad,392g,710,52,11,0,230,1450,22,6,8,40,
101,Chick-Fil-A,Cobb Salad w/ Chick-fil-A Chick-n-Strips®,salad,434g,890,63,13,0,220,1880,37,5,9,44,
102,Chick-Fil-A,Cobb Salad w/ Grilled Filet (Cold),salad,383g,690,50,11,0,220,1390,22,5,8,36,
103,Chick-Fil-A,Cobb Salad w/ Chick-fil-A® Filet,salad,413g,830,60,13,0,215,2130,33,5,9,39,
104,Chick-Fil-A,Cobb Salad w/ Spicy Filet,salad,418g,860,62,13,0,210,2400,37,6,9,38,
105,Chick-Fil-A,Cobb Salad w/ Grilled Filet (Warm),salad,382g,690,50,11,0,215,1380,22,5,8,36,
106,Chick-Fil-A,Cobb Salad w/ No Chicken,salad,298g,580,49,11,0,145,1010,21,5,7,15,
107,Chick-Fil-A,Spicy Southwest Salad,salad,424g,680,49,10,0,100,1570,27,7,7,33,
108,Chick-Fil-A,Spicy Southwest Salad w/ Spicy Grilled Filet (Cold),salad,424g,680,49,10,0,100,1570,27,7,7,33,
109,Chick-Fil-A,Spicy Southwest Salad w/ Grilled Filet (Cold),salad,424g,680,48,9.5,0,110,1220,26,7,7,35,
110,Chick-Fil-A,Spicy Southwest Salad w/ Nuggets,salad,448g,800,56,11,0,120,2050,35,7,7,39,
111,Chick-Fil-A,Spicy Southwest Salad w/ Grilled Nuggets,salad,434g,700,49,10,0,125,1290,26,7,7,39,
112,Chick-Fil-A,Spicy Southwest Salad w/ Chick-fil-A Chick-n-Strips®,salad,475g,880,60,12,0,115,1710,41,7,8,43,
113,Chick-Fil-A,Spicy Southwest Salad w/ Chick-fil-A® Filet,salad,450g,800,56,11,0,110,1950,37,7,8,36,
114,Chick-Fil-A,Spicy Southwest Salad w/ Spicy Filet,salad,459g,850,60,12,0,105,2230,41,8,8,37,
115,Chick-Fil-A,Spicy Southwest Salad w/ Grilled Filet (Warm),salad,423g,680,48,9.5,0,110,1220,26,7,7,35,
116,Chick-Fil-A,Spicy Southwest Salad w/ No Chicken,salad,339g,570,47,9.5,0,35,850,25,7,6,14,
117,Chick-Fil-A,Market Salad,salad,326g,550,31,6,0,80,1010,42,5,26,28,
118,Chick-Fil-A,Market Salad w/ Grilled Filet (Cold),salad,326g,550,31,6,0,80,1010,42,5,26,28,
119,Chick-Fil-A,Market Salad w/ Spicy Grilled Filet (Cold),salad,326g,540,31,6,0,70,1360,42,6,27,26,
120,Chick-Fil-A,Market Salad w/ Chick-fil-A Chick-n-Strips®,salad,377g,750,43,8,0,85,1500,57,5,27,36,
121,Chick-Fil-A,Market Salad w/ Nuggets,salad,354g,700,40,8,0,90,1850,51,5,27,34,
122,Chick-Fil-A,Market Salad w/ Grilled Nuggets,salad,335g,570,32,6,0,95,1080,41,6,27,32,
123,Chick-Fil-A,Market Salad w/ Chick-fil-A® Filet,salad,356g,690,41,8,0,80,1760,53,5,27,31,
124,Chick-Fil-A,Market Salad w/ Spicy Filet,salad,361g,720,42,8,0,75,2020,56,6,27,30,
125,Chick-Fil-A,Market Salad w/ Grilled Filet (Warm),salad,325g,550,31,6,0,80,1010,42,5,26,28,
126,Chick-Fil-A,Market Salad w/ No Chicken,salad,241g,440,29,5.5,0,10,640,40,5,26,7,
127,Chick-Fil-A,Chick-fil-A Waffle Potato Fries®,salad,125g,420,24,4,0,0,240,45,5,1,5,
128,Chick-Fil-A,Small Chick-fil-A Waffle Potato Fries®,sides,96g,320,19,3,0,0,190,35,4,1,4,
129,Chick-Fil-A,Medium Chick-fil-A Waffle Potato Fries®,sides,125g,420,24,4,0,0,240,45,5,1,5,
130,Chick-Fil-A,Large Chick-fil-A Waffle Potato Fries®,sides,179g,600,35,5,0,0,340,65,7,1,7,
131,Chick-Fil-A,Fruit Cup,sides,125g,70,0,0,0,0,0,16,2,12,1,
132,Chick-Fil-A,Small Fruit Cup,sides,107g,60,0,0,0,0,0,14,2,11,1,
133,Chick-Fil-A,Medium Fruit Cup,sides,125g,70,0,0,0,0,0,16,2,12,1,
134,Chick-Fil-A,Large Fruit Cup,sides,215g,120,0,0,0,0,0,28,4,21,1,
135,Chick-Fil-A,Side Salad,sides,166g,470,42,8,0,35,700,14,4,5,6,
136,Chick-Fil-A,Mac & Cheese,sides,227g,450,29,16,0,70,1190,28,3,3,20,
137,Chick-Fil-A,Small Mac & Cheese,sides,136g,270,17,10,0,40,710,17,2,2,12,
138,Chick-Fil-A,Medium Mac & Cheese,sides,227g,450,29,16,0,70,1190,28,3,3,20,
139,Chick-Fil-A,Large Mac & Cheese,sides,425g,840,53,30,0.5,130,2230,53,5,6,38,
140,Chick-Fil-A,Chicken Noodle Soup,sides,233g,170,4,1,0,30,1220,25,1,1,10,
141,Chick-Fil-A,Cup of Chicken Noodle Soup,sides,233g,170,4,1,0,30,1220,25,1,1,10,
142,Chick-Fil-A,Bowl of Chicken Noodle Soup,sides,422g,280,6,2,0,55,2060,38,2,2,17,
143,Chick-Fil-A,Kale Crunch Side,sides,112g,170,12,1.5,0,0,250,13,4,8,4,
144,Chick-Fil-A,Berry Parfait,sides,206g,270,9,3.5,0,20,85,35,1,26,13,
145,Chick-Fil-A,Berry Parfait w/ Granola,sides,206g,270,9,3.5,0,20,85,35,1,26,13,
146,Chick-Fil-A,Berry Parfait w/ Cookie Crumbs,sides,195g,240,8,3.5,0,20,85,31,1,25,12,
147,Chick-Fil-A,Original Flavor Waffle Potato Chips,sides,43g,220,13,3.5,0,0,250,25,2,0,3,
148,Chick-Fil-A,Buddy Fruits® Apple Sauce,other,90g,45,0,0,0,0,0,12,1,8,0,
149,Chick-Fil-A,5 Ct Nuggets Kid's Meal,other,71g,160,7,1.5,0,50,760,7,0,1,17,
150,Chick-Fil-A,5 ct Chick-fil-A® Nuggets,other,71g,160,7,1.5,0,50,760,7,0,1,17,
151,Chick-Fil-A,Kid's Meal Sides,other,0g,0,0,0,0,0,0,0,0,0,0,
152,Chick-Fil-A,Meal Beverages,other,0g,0,0,0,0,0,0,0,0,0,0,
153,Chick-Fil-A,Prize,other,0g,0,0,0,0,0,0,0,0,0,0,
154,Chick-Fil-A,2 Ct Chick-n-Strips® Kid's Meal,other,91g,200,9,2,0,50,580,11,0,1,19,
155,Chick-Fil-A,2 ct Chick-fil-A Chick-n-Strips®,other,91g,200,9,2,0,50,580,11,0,1,19,
156,Chick-Fil-A,Kid's Meal Sides,other,0g,0,0,0,0,0,0,0,0,0,0,
157,Chick-Fil-A,Meal Beverages,other,0g,0,0,0,0,0,0,0,0,0,0,
158,Chick-Fil-A,Prize,other,0g,0,0,0,0,0,0,0,0,0,0,
159,Chick-Fil-A,5 Ct Grilled Nuggets Kid's Meal,other,59g,80,2,0,0,55,270,1,0,0,16,
160,Chick-Fil-A,5 ct Grilled Nuggets,other,59g,80,2,0,0,55,270,1,0,0,16,
161,Chick-Fil-A,Kid's Meal Sides,other,0g,0,0,0,0,0,0,0,0,0,0,
162,Chick-Fil-A,Meal Beverages,other,0g,0,0,0,0,0,0,0,0,0,0,
163,Chick-Fil-A,Prize,other,0g,0,0,0,0,0,0,0,0,0,0,
164,Chick-Fil-A,Cherry Berry Frosted Lemonade,drink,376g,370,7,4.5,0,25,140,71,0,64,7,
165,Chick-Fil-A,Cherry Berry Frosted Lemonade,drink,376g,370,7,4.5,0,25,140,71,0,64,7,
166,Chick-Fil-A,Cherry Berry Frosted Diet Lemonade,drink,376g,300,7,4.5,0,25,140,55,0,48,7,
167,Chick-Fil-A,Frosted Lemonade,drink,383g,350,7,4.5,0,25,135,67,0,65,7,
168,Chick-Fil-A,Frosted Lemonade,drink,383g,350,7,4.5,0,25,135,67,0,65,7,
169,Chick-Fil-A,Frosted Lemonade w/ Diet Lemonade,drink,383g,280,7,4.5,0,25,140,50,0,48,7,
170,Chick-Fil-A,Frosted Coffee,drink,374g,260,7,4.5,0,25,140,45,0,44,7,
171,Chick-Fil-A,Chocolate Chunk Cookie,treat,78g,370,17,9,0,15,230,49,3,26,5,
172,Chick-Fil-A,Chocolate Chunk Cookie,treat,78g,370,17,9,0,15,230,49,3,26,5,
173,Chick-Fil-A,6 pack Chocolate Chunk Cookie,treat,78g,370,17,9,0,15,230,49,3,26,5,
174,Chick-Fil-A,Chocolate Fudge Brownie,treat,85g,370,21,8,0,65,140,47,2,35,4,
175,Chick-Fil-A,Cookies & Cream Milkshake,treat,409g,630,25,15,1,85,430,91,1,84,13,
176,Chick-Fil-A,Chocolate Milkshake,treat,409g,600,22,13,1,85,360,93,1,90,12,
177,Chick-Fil-A,Strawberry Milkshake,treat,409g,560,18,11,0.5,70,370,92,1,86,10,
178,Chick-Fil-A,Vanilla Milkshake,treat,409g,580,23,15,1,90,390,82,1,80,13,
179,Chick-Fil-A,Chick-fil-A® Icedream® Cone,treat,135g,180,4,2.5,0,15,90,32,0,25,4,
180,Chick-Fil-A,Chick-fil-A® Icedream® Cup,treat,122g,140,3.5,2.5,0,15,75,24,0,24,4,
181,Chick-Fil-A,Cherry Berry & Sprite®,drink,683g,200,0,0,0,0,85,52,0,44,0,
182,Chick-Fil-A,Cherry Berry Beverages,drink,655g,230,0,0,0,0,0,58,0,47,0,
183,Chick-Fil-A,"Cherry Berry Sunjoy® (Sweet Tea, Lemonade)",drink,655g,230,0,0,0,0,0,58,0,47,0,
184,Chick-Fil-A,"Cherry Berry Sunjoy® (Sweet Tea, Diet Lemonade)",drink,655g,130,0,0,0,0,10,33,0,23,0,
185,Chick-Fil-A,"Cherry Berry Sunjoy® (Unsweet Tea, Lemonade)",drink,655g,170,0,0,0,0,0,41,0,31,0,
186,Chick-Fil-A,"Cherry Berry Sunjoy® (Unsweet Tea, Diet Lemonade)",drink,655g,70,0,0,0,0,10,16,0,6,0,
187,Chick-Fil-A,Cherry Berry Lemonade,drink,655g,260,0,0,0,0,0,66,0,53,0,
188,Chick-Fil-A,Cherry Berry Diet Lemonade,drink,655g,90,0,0,0,0,10,22,0,10,0,
189,Chick-Fil-A,Cherry Berry Sweet Tea,drink,655g,190,0,0,0,0,0,47,0,40,0,
190,Chick-Fil-A,Cherry Berry Unsweet Tea,drink,655g,40,0,0,0,0,0,9,0,1,0,
191,Chick-Fil-A,Freshly-Brewed Iced Tea Sweetened,drink,604g,120,0,0,0,0,0,31,0,30,0,
192,Chick-Fil-A,Small Freshly-Brewed Iced Tea Sweetened,drink,451g,90,0,0,0,0,0,22,0,22,0,
193,Chick-Fil-A,Medium Freshly-Brewed Iced Tea Sweetened,drink,604g,120,0,0,0,0,0,31,0,30,0,
194,Chick-Fil-A,Large Freshly-Brewed Iced Tea Sweetened,drink,893g,170,0,0,0,0,0,44,0,44,0,
195,Chick-Fil-A,Freshly-Brewed Iced Tea Unsweetened,drink,604g,0,0,0,0,0,0,0,0,0,0,
196,Chick-Fil-A,Small Freshly-Brewed Iced Tea Unsweetened,drink,451g,0,0,0,0,0,0,0,0,0,0,
197,Chick-Fil-A,Medium Freshly-Brewed Iced Tea Unsweetened,drink,604g,0,0,0,0,0,0,0,0,0,0,
198,Chick-Fil-A,Large Freshly-Brewed Iced Tea Unsweetened,drink,893g,0,0,0,0,0,0,0,0,0,0,
199,Chick-Fil-A,Chick-fil-A® Lemonade,drink,612g,260,0,0,0,0,0,66,0,60,0,
200,Chick-Fil-A,Small Chick-fil-A® Lemonade,drink,465g,190,0,0,0,0,0,49,0,45,0,
201,Chick-Fil-A,Medium Chick-fil-A® Lemonade,drink,612g,260,0,0,0,0,0,66,0,60,0,
202,Chick-Fil-A,Large Chick-fil-A® Lemonade,drink,916g,380,0,0,0,0,0,98,1,90,1,
203,Chick-Fil-A,Chick-fil-A® Diet Lemonade,drink,612g,60,0,0,0,0,10,15,0,11,0,
204,Chick-Fil-A,Small Chick-fil-A® Diet Lemonade,drink,465g,40,0,0,0,0,10,12,0,8,0,
205,Chick-Fil-A,Medium Chick-fil-A® Diet Lemonade,drink,612g,60,0,0,0,0,10,15,0,11,0,
206,Chick-Fil-A,Large Chick-fil-A® Diet Lemonade,drink,916g,80,0,0,0,0,15,23,0,17,0,
207,Chick-Fil-A,"Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",drink,641g,240,0,0,0,0,0,60,0,57,0,
